model_name,config_idx,fit_seconds,supports_sample_weight,used_sample_weight,params_json,param_learning_rate,param_max_iter,param_max_leaf_nodes,param_min_samples_leaf,param_l2_regularization,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_f1,train_roc_auc,train_pr_auc,train_log_loss,train_brier_score,train_positive_prediction_rate,validation_accuracy,validation_balanced_accuracy,validation_precision,validation_recall,validation_f1,validation_roc_auc,validation_pr_auc,validation_log_loss,validation_brier_score,validation_positive_prediction_rate,param_hidden_layer_sizes,param_alpha,param_learning_rate_init,param_batch_size
hist_gradient_boosting,5,0.34994983300020976,True,True,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_iter"": 300, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 80}",0.05,300,31.0,80.0,0.1,0.7806111111111111,0.7464150275612492,0.5030425963488844,0.6850828729281768,0.5801169590643275,0.8329607377154966,0.6063404092665279,0.5146587804297222,0.16781298597214026,0.30127777777777776,0.7601666666666667,0.7103249583821891,0.4681818181818182,0.6209495101733233,0.5338516358924522,0.7839340978356804,0.547593412587478,0.5380414648190199,0.17771716140679847,0.29333333333333333,,,,
hist_gradient_boosting,6,0.8561451659988961,True,True,"{""l2_regularization"": 0.1, ""learning_rate"": 0.03, ""max_iter"": 500, ""max_leaf_nodes"": 63, ""min_samples_leaf"": 40}",0.03,500,63.0,40.0,0.1,0.7995,0.7777801684122996,0.5338414080929051,0.7388247112004018,0.6198251343094912,0.8653138008181916,0.6409644957364548,0.4879254409386563,0.15636439836889326,0.30616666666666664,0.7631666666666667,0.7125207081163882,0.4730504587155963,0.6217030896759608,0.5372842722240313,0.7820618406078562,0.5456587523917066,0.5303767500651124,0.1746099732908971,0.2906666666666667,,,,
hist_gradient_boosting,2,0.43497241600016423,True,True,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 300, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40}",0.05,300,31.0,40.0,0.0,0.7802222222222223,0.74832286737028,0.502373128879153,0.6911099949773983,0.5818181818181818,0.8338969398532516,0.6121937211504123,0.5138763895594092,0.16744931275848546,0.30433333333333334,0.7583333333333333,0.7077990237492846,0.46507666098807493,0.6171816126601356,0.530440414507772,0.7825279697652228,0.545628915381108,0.5384471235923787,0.17779483993437484,0.2935,,,,
hist_gradient_boosting,1,0.6467017920003855,True,True,"{""l2_regularization"": 0.0, ""learning_rate"": 0.03, ""max_iter"": 400, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40}",0.03,400,31.0,40.0,0.0,0.7801111111111111,0.7465434948063834,0.5022050716648291,0.6863385233550979,0.5800084889643463,0.8328105397817072,0.6099382366296917,0.5151773181136424,0.16792711529106974,0.30233333333333334,0.7606666666666667,0.7117251197414124,0.46912181303116146,0.6239638281838734,0.535575679172057,0.7833625836569199,0.5455729909511927,0.5388920971777605,0.17791893398085676,0.2941666666666667,,,,
hist_gradient_boosting,3,0.5371257079987117,True,True,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 400, ""max_leaf_nodes"": 63, ""min_samples_leaf"": 20}",0.05,400,63.0,20.0,0.0,0.8041111111111111,0.7821789936580785,0.5417582417582417,0.7428427925665495,0.6265621690319847,0.8708558340610935,0.6500785216789909,0.48230173291994854,0.1540275928810956,0.30333333333333334,0.7641666666666667,0.7110043571505632,0.47444831591173053,0.6156744536548606,0.5359134142341752,0.7790309931945627,0.5447620788881318,0.5300288837369416,0.1744615941404928,0.287,,,,
hist_gradient_boosting,4,0.39149520799946913,True,True,"{""l2_regularization"": 0.0, ""learning_rate"": 0.08, ""max_iter"": 250, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 20}",0.08,250,31.0,20.0,0.0,0.784,0.7524563560705726,0.5086270190895742,0.6958814665996986,0.5876988335100742,0.8408204931178748,0.6214351928818511,0.5053898735841805,0.16402855221911553,0.30266666666666664,0.7615,0.7098319790242685,0.4701492537313433,0.6171816126601356,0.533724340175953,0.7803343164430789,0.544086729050471,0.5364956820740815,0.1768581527993094,0.29033333333333333,,,,
mlp_neural_network,3,0.30452983299983316,False,False,"{""alpha"": 0.0001, ""batch_size"": 256, ""hidden_layer_sizes"": [128], ""learning_rate_init"": 0.001, ""max_iter"": 250}",,250,,,,0.8227222222222222,0.6529003321337803,0.6994452849218356,0.3483174284279257,0.46504610226320203,0.7868062777720172,0.5582387533268113,0.4256112564177738,0.13336208617687928,0.11016666666666666,0.819,0.6434157905948827,0.6909667194928685,0.3285606631499623,0.4453524004085802,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.10516666666666667,"(128,)",0.0001,0.001,256.0
mlp_neural_network,1,0.3104427920006856,False,False,"{""alpha"": 0.0001, ""batch_size"": 256, ""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.001, ""max_iter"": 250}",,250,,,,0.8233333333333334,0.6643499686382988,0.6807935076645627,0.37920642893018586,0.4870967741935484,0.7918238095828432,0.5736646656270854,0.42232446323476547,0.13175833747531965,0.12322222222222222,0.82,0.6556588369976735,0.6736990154711674,0.36096458176337604,0.47006869479882235,0.7693317009271463,0.5368526186270695,0.4378498280395013,0.13624251940760268,0.1185,"(64, 32)",0.0001,0.001,256.0
mlp_neural_network,2,0.5328446249986882,False,False,"{""alpha"": 0.0001, ""batch_size"": 256, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001, ""max_iter"": 250}",,250,,,,0.8259444444444445,0.6596437249116244,0.7092163627402661,0.36137619286790557,0.4787888870404259,0.7968231578413317,0.5805107865458992,0.41768946002606955,0.13050573976985758,0.11272222222222222,0.8203333333333334,0.6485884454475687,0.6900763358778625,0.34061793519216277,0.45610494450050454,0.7691688258366982,0.5366700551335019,0.4374880990610049,0.1362257776805136,0.10916666666666666,"(128, 64)",0.0001,0.001,256.0
mlp_neural_network,4,0.2962822080007754,False,False,"{""alpha"": 0.001, ""batch_size"": 256, ""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.001, ""max_iter"": 250}",,250,,,,0.8224444444444444,0.6662064824596976,0.6717657342657343,0.38598694123556004,0.4902711323763955,0.7899259841637204,0.5665117598819878,0.4239343125458266,0.13256608544030327,0.12711111111111112,0.82,0.6578171738398093,0.6698762035763411,0.36699321778447624,0.4741966893865628,0.7687695399714018,0.5341089480319713,0.4373389546702777,0.1364095026568895,0.12116666666666667,"(64, 32)",0.001,0.001,256.0
mlp_neural_network,5,0.6128311250013212,False,False,"{""alpha"": 0.001, ""batch_size"": 256, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.0005, ""max_iter"": 300}",,300,,,,0.8251666666666667,0.6719995830860789,0.6792614856161443,0.39728779507785034,0.5013468546981461,0.7943685395092582,0.5711549463005839,0.4225042509552888,0.1320857417918623,0.1293888888888889,0.8198333333333333,0.6598685130358933,0.6653225806451613,0.3730218538055765,0.4780299372283921,0.771865940577039,0.5307271704836458,0.43955995814756316,0.13696945082955747,0.124,"(128, 64)",0.001,0.0005,256.0
mlp_neural_network,6,0.3828532499992434,False,False,"{""alpha"": 0.0001, ""batch_size"": 128, ""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.0005, ""max_iter"": 300}",,300,,,,0.8182777777777778,0.6490579952488438,0.6741793238608526,0.34555499748869917,0.4569151585588577,0.7839196791468299,0.5519758962008299,0.4288873774072209,0.13436536394989698,0.11338888888888889,0.816,0.6404106645448826,0.6739469578783152,0.3255463451394122,0.43902439024390244,0.7692023684295826,0.5272172563908771,0.43862334707111056,0.13719540984027806,0.10683333333333334,"(64, 32)",0.0001,0.0005,128.0
